"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"02-FEB-2024","INFIBEAM","Infibeam Avenues Limited","ABHISHEK MAYUR DESAI","SELL","31,50,000","38.00","-"
"02-FEB-2024","INFIBEAM","Infibeam Avenues Limited","SONAL DESAI","BUY","31,50,000","38.00","-"
"07-FEB-2024","BSE","BSE Limited","MARSHALL WACE INVESTMENT STRATEGIES - SYSTEMATIC ALPHA PLUS FUND","SELL","88,700","2,469.35","-"
"07-FEB-2024","BSE","BSE Limited","SOCIETE GENERALE","BUY","88,700","2,469.35","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","AEMV","BUY","26,883","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","AVAW","BUY","1,34,604","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","AVS MF","BUY","53,990","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD","BUY","12,30,000","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","EMPLOYEES PROVIDENT FUND","BUY","11,68,451","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","FRANKLIN TEMPLETON MUTUAL FUND","BUY","30,63,102","344.20","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO","BUY","58,47,101","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","GREATER INDIA PORTFOLIO","BUY","4,71,249","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","GS INDIA EQUITY","BUY","2,42,208","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","HIGHDELL INVESTMENT LIMITED","SELL","3,83,35,390","339.59","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","HIGHDELL INVESTMENT LTD","SELL","79,39,581","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","HIGHDELL INVESTMENT LTD","SELL","2,24,55,000","334.00","-"
"08-FEB-2024","KALYANKJIL","Kalyan Jewellers Ind Ltd","INVESCO MUTUAL FUND","BUY","55,38,922","334.00","-"
